NumberOfTweets,Character
24,Groot
315,Black Widow
67,Nick Fury
64,Black Panther
94,Loki
17,Deadpool
3831,Captain Marvel
144,Spider-Man
623,Thor
1156,Iron Man
3046,Ant-Man
1,Rogg
754,Captain America
120,Hawkeye
25,Nebula
1322,Thanos
23,Gamora
203,Hulk
