count,location
440,United States
376,México
305,"Los Angeles, CA"
219,"California, USA"
206,Mexico
190,"London, England"
176,"Buenos Aires, Argentina"
171,"Houston, TX"
140,"Chicago, IL"
128,"Rio de Janeiro, Brasil"
125,"New York, NY"
122,"Texas, USA"
112,Argentina
109,United Kingdom
102,"New York, USA"
100,"Paris, France"
99,Brasil
96,London
92,Indonesia
90,"England, United Kingdom"
